key,en,fr,fr_CA,es,cmn_Hans,cmn_Hant,de,it,ru,ko,hi,ja,pt
MOVE_CONTROLLER_PIECES_TUTORIAL,[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] and [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] to move a puzzle piece[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] et [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] pour déplacer une piece[/center],,[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] y [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] mover una pieza del rompecabezas[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] 和 [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] 移动拼图块[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] 和 [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] 移動拼圖塊[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] und [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] ein Puzzleteil bewegen[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] e [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] per muovere un pezzo del puzzle[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] и [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] переместить кусочек головоломки[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] 그리고 [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] 퍼즐 조각을 옮기다[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] and [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] to move a puzzle piece[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] and [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] to move a puzzle piece[/center],[center][img=27]Assets/Sprites/Glyphs/RT.tres[/img] e [img=27]Assets/Sprites/Glyphs/RightStick.tres[/img] para mover uma peça do quebra-cabeça[/center]
MOVE_KEYBOARD_PIECES_TUTORIAL,[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] to move a puzzle piece[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] pour déplacer une pièce de puzzle[/center],,[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] mover una pieza del rompecabezas[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] 移动拼图块[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] 移動拼圖塊[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] ein Puzzleteil bewegen[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img]per muovere un pezzo del puzzle[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] переместить кусочек головоломки[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] 퍼즐 조각을 옮기다[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] to move a puzzle piece[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] to move a puzzle piece[/center],[center][img=27]Assets/Sprites/Glyphs/Mouse.tres[/img] para mover uma peça do quebra-cabeça[/center]
#WORLDS,,,,,,,,,,,,,
LEVEL %d,Level %d,Niveau %d,,Nivel %d,关卡 %d,關卡 %d,Level %d,Livello %d,Уровень %d,레벨 %d,Level %d,Level %d,Nível %d
WORLDS,Worlds,Mondes,,Mundos,世界,世界,Welten,Mondi,Миры,세계,Worlds,Worlds,Mundos
CHOOSE_WORLD,PICK A PUZZLE BOX,CHOISISSEZ UNE BOITE,CHOISISSEZ UNE BOITE,ELIGE UNA CAJA,选择一个盒子,選擇一個盒子,WÄHLE EINE BOX,SCEGLI UNA SCATOLA,ВЫБЕРИТЕ КОРОБКУ,상자를 선택하세요,एक डिब्बा चुनें,箱を選んでください,ESCOLHA UMA CAIXA
WORLD_DEMO,DEMO WORLD,MONDE DÉMO,,MUNDO DEMO,演示世界,示範世界,DEMO-WELT,MONDO DEMO,ДЕМО МИР,데모 월드,DEMO WORLD,DEMO WORLD,MUNDO DEMO
WORLD_KING,KING'S QUEST,LA QUÊTE DU ROI,,LA BÚSQUEDA DEL REY,国王的冒险,王者之,KÖNIGSQUEST,LA RICERCA DEL RE,КОРОЛЕВСКИЙ КВЕСТ,킹스 퀘스트,KING'S QUEST,KING'S QUEST,KING'S QUEST
WORLD_LUMBER,LUMBER PARTY,LE FESTIVAL DU TRONC,,FIESTA DE LOS LEÑADORES,木材派对,木材派對,HOLZPARTY,FESTA DEL LEGNAME,ЛЕСНЫЕ ВЕСЕЛЬЯ,목재 파티,LUMBER PARTY,LUMBER PARTY,LUMBER PARTY
WORLD_ALIEN,ALIEN EXCAVATION,MINE EXTRATERRESTRE,,EXCAVACIÓN ALIENÍGENA,外星挖掘,外星挖掘,ALIEN-AUSGRABUNG,SCAVO ALIENO,ИНОПЛАНЕТНАЯ РАСКОПКИ,외계인 발굴,ALIEN EXCAVATION,ALIEN EXCAVATION,ALIEN EXCAVATION
WORLD_MINER,MINING SESSION,AVOIR BONNE MINE,,SESIÓN DE MINERÍA,矿山会话,礦採時光,BERGBAU-SITZUNG,SESSIONE MINERARIA,СЕССИЯ ДОБЫЧИ,채굴 세션,MINING SESSION,MINING SESSION,MINING SESSION
